fund_name,amc_name,category,launch_date,nav,nav_currency,nav_as_of,expense_ratio,aum,aum_currency,aum_unit,inception_date,minimum_investment,lock_in_period,exit_load,benchmark_index,target_corpus_at_launch,target_corpus_at_launch,source_name,source_url,scraped_at,scrape_status,source_tier
DSP India IFSC Fund,,Gift City Funds,2022-03-30,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/dsp-india-ifsc-fund/,2026-08-19T06:33:36.018872+00:00,success,tier2_directory
HDFC India Mid-Cap Opportunities Fund,HDFC Asset Management Company,Gift City Funds,2023-12-12,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/hdfc-india-mid-cap-opportunities-fund/,2026-08-19T06:33:47.547841+00:00,success,tier2_directory
HDFC India Nifty 50 Fund,HDFC Asset Management Company,Gift City Funds,2023-12-12,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/hdfc-india-nifty-50-fund/,2026-08-19T06:33:51.065586+00:00,success,tier2_directory
Kotak Equity India Fund of Fund IFSC,Kotak Mutual Fund,,2024-06-03,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/kotak-equity-india-fund-of-fund-ifsc/,2026-08-19T06:33:59.031630+00:00,success,tier2_directory
Kotak Iconic India Equity Feeder Fund,Kotak Mutual Fund,Category-III AIF (Alternative Investment Fund),2024-06-07,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/kotak-iconic-india-equity-feeder-fund/,2026-08-19T06:34:03.399637+00:00,success,tier2_directory
Rational Asset Management Fund,,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/rational-asset-management-fund/,2026-08-19T06:34:10.401613+00:00,success,tier2_directory
SBI India Equity Advantage Fund (IFSC),SBI Funds Management,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/sbi-india-equity-advantage-fund-ifsc/,2026-08-19T06:34:14.030991+00:00,success,tier2_directory
SBI Investment Opportunities Fund (IFSC),SBI Funds Management,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/sbi-investment-opportunities-fund-ifsc/,2026-08-19T06:34:17.787520+00:00,success,tier2_directory
UTI India Opportunities (IFSC) Fund,UTI ALTERNATIVES PRIVATE LIMITED,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/uti-india-opportunities-ifsc-fund/,2026-08-19T06:34:21.213087+00:00,success,tier2_directory
Marcellus Global Compounders Fund,,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/marcellus-global-compounders-fund/,2026-08-19T06:34:24.820304+00:00,success,tier2_directory
Nuvama Late-Stage Growth Equity Fund 4,,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/nuvama-late-stage-growth-equity-fund-4/,2026-08-19T06:34:31.840034+00:00,success,tier2_directory
DSP India Strategic Bond Fund,,Gift City Funds,2024-12-11,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/dsp-india-strategic-bond-fund/,2026-08-19T06:34:35.374618+00:00,success,tier2_directory
DSP INDIA T.I.G.E.R. FUND,,Gift City Funds,2025-01-31,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/dsp-india-t-i-g-e-r-fund/,2026-08-19T06:34:38.910551+00:00,success,tier2_directory
DSP Pre-IPO Fund,,Gift City Funds,2024-11-18,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/dsp-pre-ipo-fund/,2026-08-19T06:34:42.332495+00:00,success,tier2_directory
Kotak Real Estate Fund- X IFSC,Kotak Mutual Fund,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/kotak-real-estate-fund-x-ifsc/,2026-08-19T06:34:45.837907+00:00,success,tier2_directory
Kotak Real Estate Fund XII – IFSC I,,Gift City Funds,2024-10-16,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/kotak-real-estate-fund-xii-ifsc-i/,2026-08-19T06:34:49.458255+00:00,success,tier2_directory
Kotak Real Estate Fund XII – IFSC II,,Gift City Funds,2024-10-16,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/kotak-real-estate-fund-xii-ifsc-ii/,2026-08-19T06:34:53.039569+00:00,success,tier2_directory
Kotak Strategic Situations Fund – II IFSC,,Gift City Funds,2023-01-17,,,,,,,,,,,,,USD 1.6 billion,USD 1.6 billion,ALTPORT fund directory,https://www.altportfunds.com/investments/kotak-strategic-situations-fund-ii-ifsc/,2026-08-19T06:34:56.497483+00:00,success,tier2_directory
Kotak Real Estate Investment Fund – IFSC,,Gift City Funds,2024-10-18,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/kotak-real-estate-investment-fund-ifsc/,2026-08-19T06:34:59.994078+00:00,success,tier2_directory
Kotak Real Estate Investment Fund II – IFSC,,Gift City Funds,2024-10-18,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/kotak-real-estate-investment-fund-ii-ifsc/,2026-08-19T06:35:03.696577+00:00,success,tier2_directory
Kotak Performing RE Credit Strategy Fund II IFSC,Kotak Mutual Fund,,2023-10-25,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/kotak-performing-re-credit-strategy-fund-ii-ifsc/,2026-08-19T06:35:07.214709+00:00,success,tier2_directory
Kotak India Commercial Real Estate Fund IFSC,Kotak Mutual Fund,,2022-02-22,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/kotak-india-commercial-real-estate-fund-ifsc/,2026-08-19T06:35:10.711428+00:00,success,tier2_directory
UTI India Opportunities (IFSC) Fund II,UTI ALTERNATIVES PRIVATE LIMITED,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/uti-india-opportunities-ifsc-fund-ii/,2026-08-19T06:35:14.249551+00:00,success,tier2_directory
UTI India Opportunities (IFSC) Fund III,UTI ALTERNATIVES PRIVATE LIMITED,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/uti-india-opportunities-ifsc-fund-iii/,2026-08-19T06:35:17.785634+00:00,success,tier2_directory
Nippon India ETF Nifty 50 BeES GIFT,Nippon Life India Asset Management Limited,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/nippon-india-etf-nifty-50-bees-gift/,2026-08-19T06:35:21.464868+00:00,success,tier2_directory
Sage One India Growth GIFT Fund,SageOne Investment Managers LLP,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/sage-one-india-growth-gift-fund/,2026-08-19T06:35:24.947193+00:00,success,tier2_directory
Girik Multicap India Fund,,Category-III AIF,2023-09-29,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/girik-multicap-india-fund/,2026-08-19T06:35:29.225501+00:00,success,tier2_directory
Sameeksha India Flexicap Equity Fund,,,2024-03-19,,,,,,,,,"USD 150,000",,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/sameeksha-india-flexicap-equity-fund/,2026-08-19T06:35:32.781589+00:00,success,tier2_directory
Valuequest India G.I.F.T. Fund,ValueQuest Investment Advisors Pvt. Ltd,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/valuequest-india-g-i-f-t-fund/,2026-08-19T06:35:36.201505+00:00,success,tier2_directory
Aikyam India Discovery Fund,,Category- III AIF,2025-05-01,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/aikyam-india-discovery-fund/,2026-08-19T06:35:40.693243+00:00,success,tier2_directory
ABC India Equity Fund,ABC Wealth,Gift City Funds,2025-05-14,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/abc-india-equity-fund/,2026-08-19T06:35:44.345477+00:00,success,tier2_directory
